Carb.Volume,Fill.Ounces,PC.Volume,Carb.Pressure,PSC,PSC.Fill,PSC.CO2,Carb.Pressure1,Fill.Pressure,Hyd.Pressure1,Hyd.Pressure4,Temperature,Usage.cont,Carb.Flow,MFR,Pressure.Vacuum,PH,Oxygen.Filler,Bowl.Setpoint,Air.Pressurer
5.293333333,24.03333333,0.296666667,68,0.17,0.2,0.02,119.2,45.2,0,102,67.2,16.5,2912,733.6,-4,8.7,0.078,120,146.4
5.293333333,23.92,0.242,66.6,0.034,0.1,0.02,124.2,40,0,128,70.338,13.84,32,362.498,-4,8.74,0.154,120,147
5.3,23.96666667,0.343333333,68.8,0.046,0.08,0.04,117.2,46.6,0,96,65.8,19.72,3088,734.6,-4,8.66,0.064,120,146.6
5.353333333,24.11333333,0.24,67.2,0.126,0.42,0.06,116.4,46.6,0,94,65.6,22.04,3044,732.2,-4.2,8.74,0.064,120,146
5.333333333,23.98666667,0.25,65.8,0.124,0.16,0.04,117.2,46.4,0,94,65.4,17.24,2982,728.4,-4.2,8.72,0.06,120,146
5.36,23.9,0.285333333,66.6,0.046,0.16,0.04,116,46.2,0,90,65,23.4,3058,741.2,-4.2,8.7,0.03,120,146.2
5.313333333,23.88,0.318666667,68.8,0.182,0.04,0.04,120.8,46.4,0,100,65,16.8,2902,732.8,-4.2,8.74,0.128,120,146.6
5.34,24.12,0.279333333,69.2,0.058,0.26,0.1,120.2,45.8,0,94,65,22.24,3102,736.2,-4.2,8.76,0.122,120,146.2
5.366666667,23.96,0.308666667,69,0.194,0.2,0.12,118.8,46.8,0,80,65.6,20.98,3086,718.8,-4.6,8.6,0.03,120,146.6
5.34,23.96,0.285333333,71.8,0.052,0.2,0.12,122.2,44.8,0,108,66.2,18.3,2740,734,-4.4,8.66,0.062,120,146.4
5.46,24,0.237333333,72.4,0.048,0.36,0,118.8,45.6,0,78,64.2,16.96,3056,726.2,-4.2,8.76,0.102,120,145.8
5.466666667,23.94666667,0.338666667,70,0.206,0.18,0.06,118.6,46.4,0,76,64,23.5,2870,731.6,-4.2,8.6,0.302,120,146.4
5.406666667,23.66666667,0.242666667,65.8,0.154,0.12,0.04,118.4,45.6,0,96,65.6,19.5,3026,731.6,-4.2,8.52,0.064,120,146.6
5.393333333,24.08666667,0.241333333,65,0.064,0.1,0.02,113.8,46.4,0,98,66.4,16.62,3038,750.8,-4.4,8.52,0.062,120,145.4
5.366666667,24.12666667,0.216666667,67.6,0.042,0.02,0.06,117,45.8,0,94,67.4,19.12,3070,736,-4.2,8.58,0.062,120,145.2
5.346666667,24.04666667,0.377333333,72.4,0.11786,0.2602,0.12,116,46,0,92,66.2,18.3,2892,732.2,-4.2,8.5,0.06,120,146.8
5.366666667,24.02,0.245333333,65.4,0.138,0.12,0.02,119.6,45.8,0,94,66.6,18.66,3102,731.2,-4.2,8.56,0.03,120,145.8
5.346666667,24.06,0.206666667,72.6,0.086,0.14,0.02,116.6,45.4,0,94,66.6,16.66,2912,736.4,-4,8.54,0.046,120,146
5.353333333,23.94,0.284,64.2,0.158,0.18,0.02,119.6,45.4,0,98,66.8,23.16,2872,727.6,-3.8,8.54,0.082,120,146.2
5.36,24.08,0.201333333,69.6,0.108,0.2164,0.1,121.4,48,0,106,67.8,21.06,3324,494,-3.8,8.58,0.134,120,146.2
5.333333333,23.97333333,0.286666667,69,0.108,0.14,0.08,121.8,46.8,0,92,66.8,17.7,3046,744.8,-3.8,8.54,0.08,120,147
5.353333333,23.90666667,0.318,63.8,0.112,0.04,0.02,119.6,45.4,0,96,65.6,19.62,2852,737.4,-3.8,8.48,0.064,120,145.6
5.32,24.02,0.298,66.8,0.17,0.32,0.04,120.2,45.6,0,90,65.8,19.06,2826,749,-3.8,8.54,0.096,120,145.8
5.366666667,24.10666667,0.269333333,69.2,0.228,0.6,0.1,121,45.2,0,98,66.4,23.02,2972,730.6,-3.8,8.48,0.044,120,146.6
5.373333333,24.04,0.288,67,0.154,0.24,0.06,124.2,46.4,0,94,66,21.26,2842,730.6,-3.8,8.42,0.048,120,146.6
5.446666667,23.95333333,0.298,65.4,0.074,0.3,0.06,118.2,46,0,90,65.8,18.36,3108,740.6,-4,8.54,0.046,120,146.8
5.366666667,23.93333333,0.293333333,66,0.052,0.36,0.06,117.8,45.4,0,90,66.2,19.2,2812,735,-4,8.52,0.084,120,146.4
5.366666667,24.01333333,0.255333333,68.2,0.136,0.06,0.06,118.8,45.4,0,92,65.6,17.24,3012,737.2,-4,8.56,0.064,120,147
5.32,23.9,0.282666667,71.6,0.084,0.32,0.06,116.8,46.4,0,94,65.4,19.76,2948,729.6,-4.2,8.56,0.024,120,146.8
5.433333333,24.16,0.253333333,68.8,0.1155,0.3545,0.2,118.2,45.2,0,102,65.6,20.44,2762,728.4,-4.2,8.58,0.054,120,146.2
5.3455,24.12,0.158666667,69.658,0.096,0.3162,0.0816,114,45.8,0,88,66,23.24,3016,737,-4.2,8.52,0.03,120,146.6
5.333333333,23.98,0.32,68.4,0.172,0.06,0.02,117.4,46.2,0,92,65.8,16.78,3096,741.2,-4.2,8.48,0.1,120,146.4
5.313333333,24.01333333,0.284666667,70.2,0.134,0.16,0.06,115.6,46.2,0,94,65.8,23.9,3064,739.6,-4.2,8.58,0.1,120,146.4
5.333333333,23.90666667,0.294666667,67,0.132,0.14,0.06,116.2,46.4,0,90,66,17.68,2854,768.8,-4.2,8.58,0.102,120,146.2
5.306666667,24.02666667,0.282666667,70.4,0.136,0.26,0.08,116,46.4,0,94,65.2,24.22,3080,727.6,-4,8.56,0.1,120,145.8
5.3,23.98,0.218666667,71.8,0.056,0.16,0.04,118.4,46.4,0,94,65.6,18.4,2954,729,-4,8.64,0.106,120,145.8
5.26,23.93333333,0.464666667,62.4,0.12834,0.26,0.08,117.2,45.6,0,94,65.4,21.62,2890,729,-3.8,8.58,0.118,120,145.6
5.313333333,23.94,0.322,70.4,0.136,0.14,0.02,120.8,45,0,94,65.6,22.34,2882,732,-3.6,8.58,0.168,120,145.6
5.286666667,23.94,0.354666667,71.8,0.134,0.14,0.02,120.8,46,0,92,65.6,23.8,3176,735.8,-3.6,8.6,0.154,120,146
5.313333333,24.07333333,0.225333333,66.2,0.09,0.44,0.02,123.2,45,0,92,65.4,18.84,2920,730.6,-3.6,8.6,0.224,120,145.6
5.346666667,23.98666667,0.242,58.6,0.102,0.14,0.02,122.6,45,0,88,65.6,19.9,2914,727.8,-3.6,8.52,0.19,120,146.2
5.333333333,23.98,0.278666667,62.8,0.018,0.04,0.08,120.2,46.8,0,94,65.2,24.1,2998,729.2,-3.6,8.58,0.07,120,146
5.333333333,24.02,0.231333333,63.6,0.072,0.1,0.02,119.4,46.8,0,92,65.4,23.02,3070,728.4,-3.6,8.6,0.046,120,146.2
5.32,23.95333333,0.327333333,63.6,0.196,0.14,0.04,120.6,46.2,0,96,65.2,17.42,2788,735.4,-3.6,8.54,0.086,120,146.6
5.34,24,0.262666667,62.4,0.024,0.1,0.04,122,45.6,0,92,65.2,16.74,2764,728.4,-3.8,8.58,0.066,120,145.8
5.226666667,23.65333333,0.118,64.2,0.078,0.32,0.02,118.2,46.8,0,100,65.4,17.66,3008,733,-3.8,8.58,0.1,120,146
5.253333333,23.95333333,0.273333333,69.8,0.036,0.2,0.08,128.2,48.6,0,134,70.8,15.6,32,341.626,-4.4,8.78,0.085472,120,147.4
5.326666667,24.04666667,0.252666667,68.6,0.204,0.08,0.02,126,46.4,0,100,65.6,20.4,3228,743,-4.6,8.84,0.086,120,147.4
5.353333333,24,0.296666667,68.4,0.056,0.1,0.02,116.8,46.2,0,94,65.6,20.92,3058,737.6,-4.6,8.28,0.066,120,147
5.313333333,24.08,0.34,69.2,0.10928,0.3,0.06,119,45.8,0,92,65.4,19.6,2896,736.4,-4.6,8.3,0.078,120,147
5.34,23.94,0.35,65.6,0.126,0.28,0.06,119.6,46,0,94,66,18.8,2942,731.4,-4.8,8.32,0.07,120,147
5.306666667,23.90666667,0.299333333,68.2,0.088,0.06,0.02,123.4,46.4,0,92,66,16.42,3162,735,-4.8,8.32,0.054,120,146.8
5.26,23.92,0.309333333,65,0.08,0.04,0.1,113,46.8,0,98,65.4,16.04,3002,747.4,-4.8,8.5,0.066,120,146.8
5.366666667,24.07333333,0.242666667,69.6,0.072,0.02,0.02,116,46.4,0,94,65.2,20.26,2990,733.8,-4.8,8.48,0.022,120,146.2
5.36,24.1,0.243333333,65.4,0.018,0.1,0.18,118.6,45.8,0,98,65.4,22.52,3074,708.8,-4.8,8.46,0.066,120,143
5.14,23.87333333,0.192,62.4,0.04,0.26,0.0858,124.4,46.6,0,92,66.4,20.4,2996,733.8,-4.8,8.44,0.096,120,142
5.326666667,23.92,0.399333333,66.4,0.008,0.12,0.06,115.2,45.6,0,88,66.6,23.8,2974,728.8,-4.6,8.42,0.056,120,141.8
5.24,23.97333333,0.365333333,63,0.092,0.1,0.22,114,46.2,0,94,66,23.62,3034,733.2,-4.6,8.42,0.066,120,141.8
5.246666667,24.02,0.298666667,65.8,0.07,0.32,0.2,120.4,46.4,0,100,65.4,16.74,3114,725,-4.4,8.36,0.25,120,142
5.306666667,23.9932,0.2835,69.6,0.1,0.26,0.02,117.2,46.2,0,104,69.2,19.16,3110,732.6,-4.2,8.34,0.064,120,142.6
5.3,23.97333333,0.302666667,69.6,0.04,0.02,0.04,116.2,46.4,0,102,69.2,19.02,3076,732.6,-4.2,8.22,0.062,120,142.6
5.3,24.09333333,0.292,67.8,0.08,0.3,0.04,119.6,45.6,0,100,67.8,17.66,2974,738.2,-4.2,8.16,0.062,120,142.4
5.32,24.08,0.298666667,63.6,0.092,0.16,0,117.8,46.4,0,96,67.6,22.58,3030,733.4,-4.2,8.14,0.04,120,142.6
5.326666667,23.99333333,0.324666667,67.6,0.074,0.14,0.14,122.4,46.4,0,104,67.4,23.5,2964,730.8,-4.2,8.12,0.064,120,142.2
5.313333333,23.89333333,0.286666667,63.2,0.088,0.4,0.04,115.8,45.6,0,112,71.2,18.74,3010,715.6,-4.2,8.08,0.094,120,142.6
5.306666667,23.94666667,0.283333333,68.2,0.048,0.24,0.08,116.6,46,0,112,70.4,19.24,2964,730.8,-4.2,8.08,0.062,120,142.2
5.246666667,23.95333333,0.312666667,63.2,0.006,0.1,0.02,116.6,46.2,0,94,68.6,20.46,3008,735,-4.4,8.14,0.032,120,142
5.3,23.98,0.301333333,63.8,0.026,0.16,0.06,117.4,46,0,94,67,19.34,3080,729.8,-4.4,8.1,0.046,120,142.2
5.306666667,24.02666667,0.291333333,66,0.032,0.24,0.08,117.4,45.8,0,92,67.2,18.56,3040,735.4,-4.4,8.5,0.046,120,142.6
5.313333333,24.02666667,0.300666667,63.4,0.03,0.3,0.08,115,46.2,0,128,68,16.44,3042,603.4,-4.6,8.58,0.046,120,142.2
5.313333333,23.92,0.27,64.6,0.036,0.26,0.08,117,45.6,0,96,67.8,17.28,3030,741,-4.6,8.56,0.064,120,142.4
5.32,23.88666667,0.292,67.8,0.12,0.08,0.1,110.6,46,0,116,67.8,23.74,2988,731,-4.6,8.56,0.03,120,142
5.166666667,24.06666667,0.263333333,67.8,0.122,0.3,0.0996,115,46.4,0,96,65.2,13.84,3090,719.4,-4.6,8.56,0.188,120,142.2
5.333333333,24.13333333,0.250666667,62,0.106,0.4,0.08,116.2,45.6,0,80,66.6,22.66,2942,737.6,-4.8,8.54,0.08,120,142
5.326666667,24,0.266666667,62.4,0.1,0.36,0.02,116.4,46.2,0,76,66.6,19.98,3066,750,-4.8,8.56,0.022,120,142.8
5.54,23.98666667,0.268,67.8,0.05,0.16,0,115.6,46.2,0,82,65.6,16.72,3002,734,-4.8,8.64,0.066,120,142.2
5.526666667,24.08,0.27,68.2,0.198,0.5,0.12,117.8,45.6,0,78,66.2,17.58,3080,726,-4.8,8.6,0.048,120,142.4
5.466666667,23.99333333,0.229333333,71.4,0.072,0.12,0.02,114.8,46,0,74,66.2,17.1,3068,733.8,-4.8,8.6,0.064,120,142.6
5.453333333,23.98,0.256666667,70.8,0.058,0.36,0.06,116.4,45.8,0,80,67.8,19.04,2948,714.6,-4.6,8.4,0.07,120,142.2
5.453333333,24.00666667,0.239333333,73.2,0.166,0.2,0.04,113.2,46.4,0,78,67,21.34,3102,717.4,-4.4,8.38,0.046,120,142.4
5.413333333,23.98666667,0.262666667,69.4,0.074,0.02,0.06,116.6,46,0,80,65.6,22.22,2968,732.2,-4.2,8.36,0.048,120,142.4
5.433333333,23.94,0.256666667,68.2,0.106,0.16,0.04,119.2,46.4,0,78,66,20.56,3138,731,-4.2,8.36,0.03,120,142.6
5.306666667,23.92,0.320666667,64,0.006,0.1,0.02,113.4,46.4,0,100,66,17.9,3008,723.6,-4,8.4,0.084,120,142.6
5.306666667,23.99333333,0.240666667,64.6,0.164,0.5,0.1,116.6,46.4,0,96,66.4,19.8,2960,731.4,-4.2,8.4,0.136,120,142.2
5.3,24.06,0.265333333,68.4,0.096,0.14,0.04,116.8,46.6,0,94,66.4,21.24,3054,731.2,-4.2,8.4,0.154,120,142
5.293333333,23.96,0.302,64.8,0.088,0.16,0.02,115.2,46,0,94,65.6,20.24,3066,735.2,-4.2,8.42,0.154,120,142
5.373333333,24.03333333,0.236,64.8,0.136,0.12,0.06,119,45.8,0,96,65.2,23.72,2860,729.8,-4.2,8.4,0.066,120,142.2
5.34,23.85333333,0.337333333,65.4,0.13,0.04,0.06,111.2,46.4,0,94,65.2,16.74,3038,726.2,-4.4,8.4,0.084,120,142.4
5.326666667,23.92,0.266666667,65.2,0.072,0.2,0.04,116.4,45.8,0,96,65.6,19.84,3030,730.8,-4.4,8.4,0.066,120,142.4
5.286666667,23.98666667,0.244,67.8,0.012,0.12,0.02,120.8,46.4,0,94,65.8,16.64,3142,728.8,-4.4,8.4,0.048,120,142.2
5.34,23.92,0.288666667,66,0.078,0.14,0.04,117,46.4,0,96,66,16.68,3090,732.6,-4.6,8.4,0.048,120,142.6
5.366666667,24.04,0.269333333,64.4,0.08,0.2,0.06,114.8,46.8,0,96,66,15.22,3228,626.8,-4.6,8.44,0.042,120,142.2
5.306666667,23.76,0.338,67.8,0.188,0.16,0.04,115.6,46.4,0,98,65.2,23.78,3090,718.4,-4.6,8.4,0.106,120,142.6
5.38,24.10666667,0.226,70,0.116,0.2,0.04,115.4,46.4,0,106,65.8,16.76,3044,727.6,-4.8,8.22,0.158,120,142.6
5.42,24.01333333,0.253333333,62.8,0.222,0.46,0.06,117.8,45.8,0,102,65.4,19.16,2928,729.6,-4.8,8.24,0.158,120,142
5.366666667,24.00666667,0.246,71.2,0.014,0.06,0.02,114.2,46.2,0,100,65.4,23.36,3054,732.6,-4.6,8.2,0.14,120,142.4
5.213333333,23.88,0.319333333,66,0.038,0.14,0.22,115.4,46.2,0,96,66,16.26,3112,718.4,-4.6,8.3,0.262,120,142
5.32,23.98,0.317333333,71.4,0.094,0.18,0.04,117.2,46,0,92,66,17.3,3068,733.8,-4.4,8.32,0.26,120,141.6
5.193333333,23.87333333,0.344666667,67.4,0.106,0.38,0.1044,115.4,46,0,100,66.6,20.46,2942,743.2,-4.4,8.32,0.238,120,141.6
5.286666667,24.05333333,0.272,67.2,0.148,0.4,0.08,112.4,46,0,96,65,23.28,3082,732.2,-4.2,8.28,0.14,120,141.8
5.55,23.81333333,0.246966667,71.204,0.02,0.36,0.02,117,46.4,0,74,67.6,22.04,3006,762.8,-4,8.4,0.046,120,141.8
5.493333333,23.87333333,0.262,70.4,0.112,0.08,0.02,115.8,46.4,0,76,67.4,21.66,3074,730.2,-4,8.3,0.03,120,142.4
5.5,23.82,0.276,70.4,0.088,0,0.08,114,46.4,0,78,66,23.3,3002,758.6,-3.8,8.34,0.024,120,142.6
